Samples_0,sensory
0A0_1,1
0A0_2,1
0A0_3,1
24A0_4,1
24A0_5,1
24A0_6,1
48A0_7,1
48A0_8,1
48A0_9,1
73A0_10,2
73A0_11,2
73A0_12,2
96A0_13,2
96A0_14,2
96A0_15,2
120A0_16,2
120A0_17,2
120A0_18,2
168A0_19,2
168A0_20,2
168A0_21,2
190A0_22,2
190A0_23,2
190A0_24,2
263A0_25,3
263A0_26,3
263A0_27,3
287A0_28,3
287A0_29,3
287A0_30,3
359A0_31,3
359A0_32,3
359A0_33,3
434A0_34,3
434A0_35,3
434A0_36,3
24A4_37,1
24A4_38,1
24A4_39,1
48A4_40,1
48A4_41,1
48A4_42,1
73A4_43,2
73A4_44,2
73A4_45,2
96A4_46,2
96A4_47,2
96A4_48,2
120A4_49,2
120A4_50,2
120A4_51,2
144A4_52,2
144A4_53,2
144A4_54,2
168A4_55,3
168A4_56,3
168A4_57,3
190A4_58,3
190A4_59,3
190A4_60,3
215A4_61,3
215A4_62,3
215A4_63,3
263A4_64,3
263A4_65,3
263A4_66,3
311A4_67,3
311A4_68,3
311A4_69,3
359A4_70,3
359A4_71,3
359A4_72,3
12A8_73,1
12A8_74,1
12A8_75,1
24A8_76,1
24A8_77,1
24A8_78,1
48A8_79,1
48A8_80,1
48A8_81,1
58A8_82,2
58A8_83,2
58A8_84,2
69A8_85,2
69A8_86,2
69A8_87,2
81A8_88,2
81A8_89,2
81A8_90,2
103A8_91,2
103A8_92,2
103A8_93,2
127A8_94,3
127A8_95,3
127A8_96,3
139A8_97,3
139A8_98,3
139A8_99,3
175A8_100,3
175A8_101,3
175A8_102,3
199A8_103,3
199A8_104,3
199A8_105,3
8A12_106,1
8A12_107,1
8A12_108,1
16A12_109,1
16A12_110,1
16A12_111,1
24A12_112,1
24A12_113,1
24A12_114,1
30A12_115,2
30A12_116,2
30A12_117,2
36A12_118,2
36A12_119,2
36A12_120,2
48A12_121,2
48A12_122,2
48A12_123,2
54A12_124,2
54A12_125,2
54A12_126,2
60A12_127,3
60A12_128,3
60A12_129,3
69A12_130,3
69A12_131,3
69A12_132,3
77A12_133,3
77A12_134,3
77A12_135,3
100A12_136,3
100A12_137,3
100A12_138,3
139A12_139,3
139A12_140,3
139A12_141,3
6A16_142,1
6A16_143,1
6A16_144,1
12A16_145,1
12A16_146,1
12A16_147,1
18A16_148,1
18A16_149,1
18A16_150,1
24A16_151,2
24A16_152,2
24A16_153,2
30A16_154,2
30A16_155,2
30A16_156,2
36A16_157,2
36A16_158,2
36A16_159,2
42A16_160,2
42A16_161,2
42A16_162,2
46A16_163,3
46A16_164,3
46A16_165,3
60A16_166,3
60A16_167,3
60A16_168,3
73A16_169,3
73A16_170,3
73A16_171,3
77A16_172,3
77A16_173,3
77A16_174,3
91A16_175,3
91A16_176,3
91A16_177,3
