Samples_0,tvc,cfc,staa,mrs,vrbga
0A0_1,3.87,3.46,3.08,2.38,0.44
0A0_2,3.87,3.46,3.08,2.38,0.44
0A0_3,3.87,3.46,3.08,2.38,0.44
24A0_4,3.21,2.81,2.05,1.89,0.78
24A0_5,3.21,2.81,2.05,1.89,0.78
24A0_6,3.21,2.81,2.05,1.89,0.78
48A0_7,3.63,3.64,2.39,2.19,0.24
48A0_8,3.63,3.64,2.39,2.19,0.24
48A0_9,3.63,3.64,2.39,2.19,0.24
73A0_10,3.74,3.01,2.61,2.34,0.24
73A0_11,3.74,3.01,2.61,2.34,0.24
73A0_12,3.74,3.01,2.61,2.34,0.24
96A0_13,3.63,3.42,2.92,2.44,0.82
96A0_14,3.63,3.42,2.92,2.44,0.82
96A0_15,3.63,3.42,2.92,2.44,0.82
120A0_16,4.1,4.4,3.87,2.01,0.39
120A0_17,4.1,4.4,3.87,2.01,0.39
120A0_18,4.1,4.4,3.87,2.01,0.39
168A0_19,4.19,5.14,3.76,2.14,0.89
168A0_20,4.19,5.14,3.76,2.14,0.89
168A0_21,4.19,5.14,3.76,2.14,0.89
190A0_22,5.13,6.13,4.43,2.81,0.99
190A0_23,5.13,6.13,4.43,2.81,0.99
190A0_24,5.13,6.13,4.43,2.81,0.99
263A0_25,6.91,7.16,5.55,3.44,1.08
263A0_26,6.91,7.16,5.55,3.44,1.08
263A0_27,6.91,7.16,5.55,3.44,1.08
287A0_28,7.78,8.09,6.12,3.29,1.27
287A0_29,7.78,8.09,6.12,3.29,1.27
287A0_30,7.78,8.09,6.12,3.29,1.27
359A0_31,8.04,8.39,6.98,4.04,0.24
359A0_32,8.04,8.39,6.98,4.04,0.24
359A0_33,8.04,8.39,6.98,4.04,0.24
434A0_34,8.95,9,7.19,4.04,0.24
434A0_35,8.95,9,7.19,4.04,0.24
434A0_36,8.95,9,7.19,4.04,0.24
24A4_37,3.15,3.4,2.87,2.48,1.25
24A4_38,3.15,3.4,2.87,2.48,1.25
24A4_39,3.15,3.4,2.87,2.48,1.25
48A4_40,3.71,4.38,3.09,2.43,0.39
48A4_41,3.71,4.38,3.09,2.43,0.39
48A4_42,3.71,4.38,3.09,2.43,0.39
73A4_43,3.51,4.77,3.54,2.61,1.17
73A4_44,3.51,4.77,3.54,2.61,1.17
73A4_45,3.51,4.77,3.54,2.61,1.17
96A4_46,4.71,5.73,4.39,3.28,1.06
96A4_47,4.71,5.73,4.39,3.28,1.06
96A4_48,4.71,5.73,4.39,3.28,1.06
120A4_49,5.76,5.93,5.08,3.92,1.93
120A4_50,5.76,5.93,5.08,3.92,1.93
120A4_51,5.76,5.93,5.08,3.92,1.93
144A4_52,7.01,7.2,6.89,4.71,3.99
144A4_53,7.01,7.2,6.89,4.71,3.99
144A4_54,7.01,7.2,6.89,4.71,3.99
168A4_55,7.87,8.06,6.42,4.42,2.66
168A4_56,7.87,8.06,6.42,4.42,2.66
168A4_57,7.87,8.06,6.42,4.42,2.66
190A4_58,7.76,8.09,6.39,4.69,2.48
190A4_59,7.76,8.09,6.39,4.69,2.48
190A4_60,7.76,8.09,6.39,4.69,2.48
215A4_61,8.61,8.78,7.04,5.41,3.89
215A4_62,8.61,8.78,7.04,5.41,3.89
215A4_63,8.61,8.78,7.04,5.41,3.89
263A4_64,8.82,9.03,7.31,5.89,4.74
263A4_65,8.82,9.03,7.31,5.89,4.74
263A4_66,8.82,9.03,7.31,5.89,4.74
311A4_67,9.52,9.56,7.73,6.06,4.92
311A4_68,9.52,9.56,7.73,6.06,4.92
311A4_69,9.52,9.56,7.73,6.06,4.92
359A4_70,9.88,9.71,8.04,6.26,5.3
359A4_71,9.88,9.71,8.04,6.26,5.3
359A4_72,9.88,9.71,8.04,6.26,5.3
12A8_73,3.06,2.82,2.24,1.99,0.63
12A8_74,3.06,2.82,2.24,1.99,0.63
12A8_75,3.06,2.82,2.24,1.99,0.63
24A8_76,3.92,4.21,3.26,2.33,1.08
24A8_77,3.92,4.21,3.26,2.33,1.08
24A8_78,3.92,4.21,3.26,2.33,1.08
48A8_79,4.19,4.67,3.8,2.59,0.82
48A8_80,4.19,4.67,3.8,2.59,0.82
48A8_81,4.19,4.67,3.8,2.59,0.82
58A8_82,5.69,5.36,4.32,3.67,1.08
58A8_83,5.69,5.36,4.32,3.67,1.08
58A8_84,5.69,5.36,4.32,3.67,1.08
69A8_85,6.76,6.87,6.1,4.78,2.85
69A8_86,6.76,6.87,6.1,4.78,2.85
69A8_87,6.76,6.87,6.1,4.78,2.85
81A8_88,6.41,7.15,6.03,4.88,3.24
81A8_89,6.41,7.15,6.03,4.88,3.24
81A8_90,6.41,7.15,6.03,4.88,3.24
103A8_91,7.36,7.76,6.41,5.01,3.38
103A8_92,7.36,7.76,6.41,5.01,3.38
103A8_93,7.36,7.76,6.41,5.01,3.38
127A8_94,8.25,8.29,6.73,5.24,3.74
127A8_95,8.25,8.29,6.73,5.24,3.74
127A8_96,8.25,8.29,6.73,5.24,3.74
139A8_97,8.61,8.76,7.6,6.09,4.98
139A8_98,8.61,8.76,7.6,6.09,4.98
139A8_99,8.61,8.76,7.6,6.09,4.98
175A8_100,9.35,9.22,8.21,6.84,5.96
175A8_101,9.35,9.22,8.21,6.84,5.96
175A8_102,9.35,9.22,8.21,6.84,5.96
199A8_103,9.45,9.51,7.91,6.89,6.42
199A8_104,9.45,9.51,7.91,6.89,6.42
199A8_105,9.45,9.51,7.91,6.89,6.42
8A12_106,3.57,3.04,1.86,2.52,0.71
8A12_107,3.57,3.04,1.86,2.52,0.71
8A12_108,3.57,3.04,1.86,2.52,0.71
16A12_109,3.5,3.43,3.18,2.77,1.07
16A12_110,3.5,3.43,3.18,2.77,1.07
16A12_111,3.5,3.43,3.18,2.77,1.07
24A12_112,4.07,4.99,4.24,3.73,2.71
24A12_113,4.07,4.99,4.24,3.73,2.71
24A12_114,4.07,4.99,4.24,3.73,2.71
30A12_115,4.51,4.84,3.89,3.08,1.63
