Samples_0,DF1,DF1,DF3,DF4,DF5,DF6,DF7,DF8
0A0_1,1880,519,933,797,1124,696,1450,609
0A0_2,1890,506,978,809,1130,703,1495,612
0A0_3,1939,510,1027,839,1163,717,1550,631
24A0_4,1976,531,1047,858,1175,721,1610,637
24A0_5,2001,559,1054,873,1182,722,1633,643
24A0_6,2086,553,1138,928,1229,727,1700,681
48A0_7,1987,524,1048,872,1162,716,1636,638
48A0_8,1981,530,1024,865,1155,721,1640,632
48A0_9,2013,519,1041,877,1173,728,1665,639
73A0_10,2051,537,1071,902,1191,734,1706,655
73A0_11,2105,557,1116,932,1218,735,1747,677
73A0_12,2157,552,1178,972,1246,728,1798,702
96A0_13,2076,525,1104,924,1197,734,1736,664
96A0_14,1957,484,994,851,1136,718,1645,619
96A0_15,2109,526,1120,931,1218,736,1751,675
120A0_16,1723,444,854,776,1073,648,1387,562
120A0_17,1831,487,963,819,1107,690,1476,593
120A0_18,1831,486,957,823,1099,693,1497,591
168A0_19,2082,543,1179,969,1226,704,1712,696
168A0_20,2160,553,1234,1012,1251,706,1807,733
168A0_21,2114,543,1190,979,1223,732,1757,702
190A0_22,2158,519,1250,1015,1237,732,1830,729
190A0_23,2146,537,1236,1006,1226,729,1816,723
190A0_24,2133,553,1223,996,1218,730,1801,714
263A0_25,2162,522,1264,1009,1235,751,1839,726
263A0_26,2155,518,1250,1000,1225,745,1829,719
263A0_27,2136,525,1237,992,1216,736,1807,712
287A0_28,2222,547,1304,1039,1257,762,1912,748
287A0_29,2227,546,1307,1046,1258,756,1926,753
287A0_30,2164,518,1262,1015,1228,754,1857,727
359A0_31,2135,522,1238,991,1217,762,1823,710
359A0_32,2274,537,1332,1067,1273,744,1983,775
359A0_33,2232,525,1309,1051,1251,769,1939,752
434A0_34,2216,507,1313,1047,1246,781,1944,744
434A0_35,2287,525,1358,1085,1278,775,2025,778
434A0_36,2216,516,1309,1047,1246,787,1940,741
24A4_37,1965,485,1112,877,1121,721,1557,635
24A4_38,1987,478,1148,897,1133,726,1607,648
24A4_39,1976,483,1146,915,1131,728,1622,647
48A4_40,1965,469,1110,904,1123,726,1639,635
48A4_41,1954,470,1097,894,1121,727,1638,632
48A4_42,1984,480,1124,918,1136,733,1665,644
73A4_43,1939,465,1080,891,1128,717,1628,627
73A4_44,1904,450,1047,877,1110,708,1604,616
73A4_45,1937,469,1083,897,1125,715,1624,629
96A4_46,1893,444,1038,876,1106,706,1604,610
96A4_47,1912,447,1049,883,1116,707,1609,616
96A4_48,2040,482,1188,949,1177,720,1701,676
120A4_49,2053,509,1189,969,1187,752,1740,679
120A4_50,2114,519,1231,993,1219,764,1789,699
120A4_51,2101,521,1213,988,1213,769,1789,692
144A4_52,1589,402,840,756,953,604,1236,525
144A4_53,1626,415,864,783,992,632,1292,535
144A4_54,1711,416,930,815,1036,668,1370,574
168A4_55,1678,398,901,810,976,660,1399,558
168A4_56,1790,419,971,851,1063,695,1483,591
168A4_57,1845,445,1008,871,1086,714,1529,606
190A4_58,1825,434,1037,861,1083,703,1528,599
190A4_59,1845,424,1045,869,1087,715,1551,606
190A4_60,1851,425,1050,875,1087,716,1559,608
215A4_61,1864,439,1060,877,1095,704,1562,613
215A4_62,1918,480,1120,909,1126,711,1607,637
215A4_63,1920,473,1108,906,1117,725,1616,635
263A4_64,1919,450,1099,908,1119,729,1626,632
263A4_65,1918,449,1094,907,1118,730,1627,631
263A4_66,1902,442,1086,902,1112,724,1613,626
311A4_67,1850,425,1033,878,1092,707,1575,605
311A4_68,1895,445,1069,895,1112,718,1605,622
311A4_69,1978,483,1159,940,1158,717,1664,661
359A4_70,1876,461,1063,891,1100,722,1606,616
359A4_71,1911,465,1089,910,1116,732,1638,630
359A4_72,1907,457,1094,911,1116,730,1637,629
12A8_73,1812,540,870,727,1096,628,1444,550
12A8_74,1909,558,939,778,1127,647,1525,574
12A8_75,1907,548,914,775,1111,647,1536,567
24A8_76,1917,545,900,789,1110,656,1579,570
24A8_77,1943,552,928,800,1118,653,1588,577
24A8_78,1926,546,926,793,1097,636,1559,569
48A8_79,2039,578,1013,835,1139,653,1633,597
48A8_80,2036,581,1012,836,1136,651,1629,596
48A8_81,2050,576,1048,854,1137,641,1636,603
58A8_82,2035,569,1033,846,1128,645,1626,598
58A8_83,1990,556,986,824,1109,643,1601,585
58A8_84,1994,556,985,822,1104,643,1605,586
69A8_85,1951,548,962,802,1095,639,1578,575
69A8_86,2038,568,1063,857,1126,640,1636,603
69A8_87,2040,570,1063,860,1127,646,1639,603
81A8_88,2070,574,1090,878,1135,653,1668,614
81A8_89,1979,542,1001,822,1093,646,1599,582
81A8_90,2018,556,1034,843,1108,649,1625,596
103A8_91,1721,520,780,722,1047,611,1395,525
103A8_92,1808,535,857,760,1076,640,1477,549
103A8_93,1881,548,906,786,1107,664,1549,569
127A8_94,1838,530,832,792,1112,655,1559,561
127A8_95,1905,540,910,814,1142,671,1607,578
127A8_96,1918,536,918,810,1133,666,1601,578
139A8_97,1956,539,961,814,1133,655,1594,585
139A8_98,2025,565,1020,848,1153,663,1640,603
139A8_99,2048,574,1054,868,1164,665,1654,612
175A8_100,1951,535,952,827,1128,673,1636,587
175A8_101,1956,533,959,833,1127,672,1638,590
175A8_102,1971,541,973,842,1130,675,1647,595
199A8_103,1958,537,964,839,1133,676,1649,594
199A8_104,1984,543,982,852,1137,679,1665,600
199A8_105,2030,556,1018,877,1158,693,1701,615
8A12_106,1743,561,726,579,1139,571,1342,527
8A12_107,1776,557,754,611,1146,580,1374,535
8A12_108,1808,552,772,624,1152,586,1397,539
16A12_109,1707,549,719,613,1079,567,1361,515
16A12_110,1721,543,723,620,1084,571,1374,518
16A12_111,1706,536,715,619,1069,564,1359,510
24A12_112,1879,552,816,692,1171,605,1493,556
24A12_113,1965,580,896,735,1221,618,1551,580
24A12_114,1955,570,891,735,1206,624,1542,575
30A12_115,1958,566,876,736,1195,637,1563,576
30A12_116,1980,571,894,743,1204,635,1578,579
30A12_117,2077,607,1012,792,1249,643,1637,605
36A12_118,2020,578,949,773,1201,647,1603,590
36A12_119,2097,602,1003,796,1239,665,1657,611
36A12_120,2157,615,1047,828,1254,669,1693,626
48A12_121,1996,545,926,769,1181,647,1604,582
48A12_122,2031,578,963,790,1188,649,1623,593
48A12_123,2066,585,991,808,1202,657,1647,603
54A12_124,2057,555,975,796,1190,661,1650,601
54A12_125,2047,555,987,800,1183,647,1626,594
54A12_126,2054,561,1003,811,1183,645,1631,598
60A12_127,1798,507,840,678,1109,600,1368,536
60A12_128,1860,497,870,711,1126,621,1429,548
60A12_129,1923,537,917,741,1149,632,1475,567
69A12_130,1855,506,864,734,1105,624,1485,554
69A12_131,1937,529,917,764,1145,645,1537,573
69A12_132,1921,524,914,765,1129,634,1521,567
77A12_133,1963,558,943,783,1149,637,1562,581
77A12_134,1971,534,963,790,1143,631,1555,579
77A12_135,2071,564,1041,840,1178,644,1629,608
100A12_136,1917,515,885,785,1115,641,1581,570
100A12_137,1944,520,911,796,1131,647,1599,577
100A12_138,2031,540,985,836,1162,664,1656,600
139A12_139,2024,571,999,842,1166,668,1675,601
139A12_140,2055,576,1035,852,1171,672,1696,615
139A12_141,2044,573,1031,851,1165,672,1690,614
6A16_142,2140,555,1178,1044,1273,842,1794,697
6A16_143,2146,560,1189,1049,1275,845,1804,700
6A16_144,2144,561,1196,1052,1274,848,1814,703
12A16_145,2309,599,1368,1151,1395,883,1978,775
12A16_146,2295,585,1355,1146,1386,878,1962,768
12A16_147,2298,590,1368,1147,1395,878,1970,773
18A16_148,1994,511,1019,940,1205,779,1648,660
18A16_149,2028,517,1079,962,1219,791,1686,661
18A16_150,2078,532,1134,991,1248,807,1728,677
24A16_151,2042,527,1108,1000,1230,802,1734,667
24A16_152,2083,524,1155,1023,1253,822,1770,683
24A16_153,2038,518,1114,1011,1231,814,1754,669
30A16_154,2028,522,1112,1018,1234,813,1758,667
30A16_155,2113,553,1209,1056,1268,837,1820,700
30A16_156,2083,539,1186,1052,1261,835,1806,689
36A16_157,2003,513,1114,1018,1222,803,1743,660
36A16_158,2100,550,1216,1059,1278,821,1803,697
36A16_159,2085,550,1212,1054,1270,818,1795,693
42A16_160,2040,530,1172,1034,1252,807,1765,678
42A16_161,2022,533,1161,1022,1244,801,1751,672
42A16_162,2169,580,1317,1087,1309,816,1858,734
46A16_163,1858,488,1097,963,1184,739,1549,635
46A16_164,1976,521,1184,1012,1226,778,1633,671
46A16_165,1969,515,1169,1010,1216,779,1646,664
60A16_166,1927,510,1130,991,1197,764,1632,650
60A16_167,1964,516,1156,1001,1213,767,1652,657
60A16_168,2003,522,1185,1013,1234,769,1677,671
73A16_169,1671,449,942,863,1120,685,1405,596
73A16_170,1759,463,986,906,1128,718,1470,612
73A16_171,1780,463,991,916,1140,724,1494,611
77A16_172,1788,461,976,918,1142,718,1520,609
77A16_173,1827,468,1003,940,1161,733,1553,616
77A16_174,1904,491,1113,972,1201,749,1603,641
91A16_175,1939,504,1119,988,1197,754,1638,644
91A16_176,1986,515,1163,1005,1219,763,1673,662
91A16_177,1932,497,1112,983,1185,752,1631,639
