Samples          ,DF1,DF2,DF3,DF4,DF5,DF6,DF7,DF8
F1a_1               ,2075,560,1193,751,1250,5176,2278,568
F1a_2,2161,585,1272,734,1308,5961,2354,584
F1a_3,2173,588,1287,725,1318,6178,2361,586
F1a_4,2126,578,1272,728,1303,6220,2336,568
F1b_1              ,2131,501,1255,706,1257,6611,2103,578
F1b_2,2147,509,1262,713,1264,6642,2125,577
F1b_3,2114,493,1226,714,1239,6528,2084,567
F1b_4,2127,496,1234,715,1244,6612,2090,573
0F4_1                 ,1955,481,1175,707,1185,6385,1847,541
0F4_2,2021,489,1205,693,1207,6485,1922,555
0F4_3,2043,492,1209,698,1212,6507,1967,553
0F4_4,2078,492,1217,704,1226,6527,2024,565
0F7_1                 ,2349,566,1430,760,1377,6855,2333,626
0F7_2,2336,581,1450,739,1371,6806,2323,614
0F7_3,2266,556,1382,729,1335,6777,2244,597
0F7_4,2343,605,1487,742,1382,6749,2323,614
0F9_1                 ,2473,649,1528,761,1414,6719,2440,627
0F9_2,2488,651,1536,776,1423,6589,2460,629
0F9_3,2451,636,1502,770,1409,6824,2426,623
0F9_4,2429,619,1477,776,1402,6895,2402,623
0F11_1                ,2467,633,1464,781,1412,6793,2434,628
0F11_2,2490,645,1494,791,1417,6775,2462,632
0F11_3,2450,624,1421,792,1400,6901,2428,628
0F11_4,2448,621,1416,791,1402,6888,2428,632
0F12_1                ,2446,618,1415,785,1393,6862,2426,628
0F12_2,2375,578,1353,773,1363,6917,2348,614
0F12_3,2275,546,1262,771,1313,6826,2235,578
0F14_1                ,2338,569,1327,776,1352,6837,2279,604
0F14_2,2404,612,1379,785,1383,6748,2343,614
0F14_3,2416,619,1404,786,1386,6743,2352,618
0F14_4,2399,613,1394,783,1377,6751,2335,604
0F16_1                ,2410,594,1391,799,1387,6992,2371,614
0F16_2,2366,597,1369,781,1363,6770,2300,602
0F16_3,2461,643,1426,801,1401,6593,2406,636
5F3_1                 ,2143,576,1291,764,1302,6295,2304,578
5F3_2,2268,617,1387,776,1351,6554,2440,607
5F3_3,2320,636,1426,801,1374,6661,2496,628
5F3_4,2279,603,1406,797,1354,6611,2451,623
5F5_1                ,2219,573,1362,790,1315,6587,2382,615
5F5_2,2361,628,1469,799,1385,6799,2528,638
5F5_3,2237,581,1350,777,1313,6564,2395,619
5F5_4,2318,603,1419,784,1374,6750,2493,638
5F6_1                 ,2120,540,1281,784,1283,6434,2273,602
5F6_2,2233,579,1366,776,1340,6738,2378,622
5F6_3,2203,559,1336,789,1319,6621,2336,619
5F6_4,2285,585,1419,799,1363,6778,2414,635
5F7_1                 ,2401,631,1540,793,1413,6899,2531,643
5F7_2,2364,612,1492,795,1390,6920,2483,637
5F7_3,2371,607,1481,801,1387,6934,2477,638
5F7_4,2440,631,1548,809,1420,6964,2544,646
5F8_1                 ,2291,575,1400,805,1347,6842,2389,626
5F8_2,2367,595,1473,812,1383,6972,2458,635
5F8_3,2351,583,1450,813,1370,6958,2428,633
5F8_4,2386,591,1473,812,1384,6975,2459,632
5F9_1                 ,2371,592,1461,817,1385,6948,2455,628
5F9_2,2400,601,1495,800,1397,6965,2478,628
5F9_3,2336,579,1432,810,1363,6932,2405,616
5F9_4,2375,590,1461,801,1381,6987,2436,624
5F11_1                ,2348,592,1458,793,1373,6987,2405,626
5F11_2,2448,635,1559,795,1424,7045,2489,643
5F11_3,2425,628,1550,787,1413,7071,2464,640
5F11_4,2501,656,1599,799,1451,7085,2520,649
10F4_1                ,2376,587,1334,799,1352,6915,2303,617
10F4_2,2367,598,1319,796,1347,6901,2299,617
10F4_3,2354,577,1311,798,1341,6877,2285,614
10F4_4,2346,575,1314,797,1339,6873,2276,613
10F7_1                ,2254,549,1231,803,1290,6780,2182,593
10F7_2,2241,544,1230,812,1286,6773,2173,590
10F7_3,2276,547,1252,806,1303,6800,2198,598
10F7_4,2263,547,1246,808,1298,6791,2186,592
10F9_1                ,1869,483,1040,739,1135,6142,1718,502
10F9_2,1968,494,1094,738,1168,6300,1812,515
10F9_3,1980,490,1091,747,1168,6271,1843,520
10F9_4,2009,489,1107,749,1173,6286,1876,519
10F12_1               ,2012,478,1083,744,1171,6224,1908,518
10F12_2,2007,480,1074,744,1167,6193,1910,515
10F12_3,2064,498,1129,746,1197,6339,1967,543
10F12_4,2063,491,1138,744,1202,6356,1980,550
10F14_1               ,2178,523,1224,735,1259,6496,2100,577
10F14_2,2239,545,1278,735,1290,6425,2164,590
10F14_3,2264,551,1301,734,1298,6404,2185,594
10F14_4,2324,574,1354,742,1326,6060,2243,603
10F16_1               ,2144,504,1190,747,1232,6490,2059,563
10F16_2,2189,516,1228,741,1252,6524,2100,577
10F16_3,2207,529,1241,737,1262,6531,2117,581
10F16_4,2229,536,1261,737,1276,6550,2147,587
10F18_1               ,2140,500,1177,761,1220,6506,2041,561
10F18_2,2176,511,1199,763,1242,6568,2082,573
10F18_3,2194,516,1210,769,1248,6599,2102,576
10F18_4,2203,523,1215,759,1252,6633,2116,581
15F4_1                ,2229,530,1253,749,1276,6659,2147,596
15F4_2,2256,540,1268,753,1287,6696,2169,600
15F4_3,2334,561,1329,754,1324,6534,2234,609
15F4_4,2300,549,1308,750,1304,6658,2201,600
15F6_1                ,2276,545,1296,761,1299,6651,2175,603
15F6_2,2310,551,1316,765,1311,6616,2203,606
15F6_3,2307,550,1312,767,1309,6615,2198,606
15F6_4,2355,565,1350,766,1331,6425,2239,612
15F8_1                ,2318,552,1323,764,1315,6566,2211,606
15F8_2,2285,541,1297,762,1295,6646,2174,599
15F8_3,2331,558,1343,762,1321,6430,2223,608
15F8_4,2300,548,1316,760,1308,6616,2199,602
15F11_1               ,2146,492,1181,772,1210,6615,1999,561
15F11_2,2281,544,1287,766,1290,6500,2137,594
15F11_3,2161,499,1183,776,1214,6635,2001,563
15F11_4,2239,530,1248,782,1261,6505,2074,579
15F13_1               ,1959,499,1069,811,1164,6272,1745,539
15F13_2,2028,501,1103,801,1185,6375,1804,547
15F13_3,2080,503,1133,797,1204,6449,1856,554
15F13_4,2081,499,1120,808,1196,6422,1860,553
15F16_1               ,2071,502,1103,803,1189,6434,1862,549
15F16_2,2098,507,1124,802,1198,6462,1892,550
15F16_3,2132,513,1141,811,1215,6503,1930,561
15F16_4,2146,519,1147,815,1222,6520,1955,565
15F19_1               ,2103,528,1090,884,1191,6085,1939,544
15F19_2,2140,533,1114,867,1215,6253,1972,553
15F19_3,2053,508,1056,849,1155,6004,1874,521
15F19_4,2091,497,1071,853,1183,6125,1912,532
20F3_1                ,1996,483,1087,801,1141,6217,1836,524
20F3_2,2165,525,1175,825,1230,6531,1992,572
20F3_3,2193,534,1201,822,1249,6571,2029,582
20F3_4,2192,533,1199,813,1249,6575,2033,578
20F5_1                ,2222,541,1206,846,1265,6592,2057,589
20F5_2,2271,555,1254,843,1297,6625,2120,604
20F5_3,2206,536,1207,832,1259,6589,2061,583
20F5_4,2291,565,1282,822,1312,6474,2145,606
20F7_1                ,2211,538,1209,857,1265,6603,2078,591
20F7_2,2216,536,1214,836,1264,6601,2074,585
20F7_3,2205,533,1214,822,1262,6570,2068,583
20F7_4,2246,543,1236,829,1283,6584,2103,593
20F10_1               ,2266,551,1243,834,1288,6625,2117,597
20F10_2,2284,560,1265,831,1304,6565,2143,601
20F10_3,2295,566,1283,823,1312,6572,2164,604
20F10_4,2297,568,1290,822,1320,6596,2180,610
20F13_1               ,1957,501,1092,872,1157,6120,1828,574
20F13_2,1951,509,1057,833,1141,6027,1845,542
20F13_3,1981,503,1070,844,1146,6085,1858,540
20F13_4,2034,508,1098,856,1172,6235,1906,543
20F16_1               ,2155,524,1143,877,1232,6324,1992,581
20F16_2,2201,531,1174,872,1258,6379,2040,592
20F16_3,2203,531,1177,863,1261,6367,2038,585
20F16_4,2202,532,1179,864,1257,6362,2039,585
