Samples          ,TVC,Pseudomonads,Br. thermosphacta,LAB 5.7,LAB 5.2,Enterobacteriaceae 
F1a_1               ,2.8897845202,1.4126632655,1.4126632655,0.4126632655,0.4126632655,1.0147232568
F1a_2,2.8897845202,1.4126632655,1.4126632655,0.4126632655,0.4126632655,1.0147232568
F1a_3,2.8897845202,1.4126632655,1.4126632655,0.4126632655,0.4126632655,1.0147232568
F1a_4,2.8897845202,1.4126632655,1.4126632655,0.4126632655,0.4126632655,1.0147232568
F1b_1              ,3.3157532525,1.4126632655,1.4126632655,1.0147232568,1.1116332698,1.0147232568
F1b_2,3.3157532525,1.4126632655,1.4126632655,1.0147232568,1.1116332698,1.0147232568
F1b_3,3.3157532525,1.4126632655,1.4126632655,1.0147232568,1.1116332698,1.0147232568
F1b_4,3.3157532525,1.4126632655,1.4126632655,1.0147232568,1.1116332698,1.0147232568
0F4_1                 ,2.8897845202,2.5354195994,2.1027688863,1.5631782633,1.0278877262,0.4126632655
0F4_2,2.8897845202,2.5354195994,2.1027688863,1.5631782633,1.0278877262,0.4126632655
0F4_3,2.8897845202,2.5354195994,2.1027688863,1.5631782633,1.0278877262,0.4126632655
0F4_4,2.8897845202,2.5354195994,2.1027688863,1.5631782633,1.0278877262,0.4126632655
0F7_1                 ,4.1423595094,4.0827663055,3.9542353371,2.681572813,1.5631782633,0.4126632655
0F7_2,4.1423595094,4.0827663055,3.9542353371,2.681572813,1.5631782633,0.4126632655
0F7_3,4.1423595094,4.0827663055,3.9542353371,2.681572813,1.5631782633,0.4126632655
0F7_4,4.1423595094,4.0827663055,3.9542353371,2.681572813,1.5631782633,0.4126632655
0F9_1                 ,4.5655860564,4.7577347144,4.4578275689,2.0431756825,1.8674412801,0.4126632655
0F9_2,4.5655860564,4.7577347144,4.4578275689,2.0431756825,1.8674412801,0.4126632655
0F9_3,4.5655860564,4.7577347144,4.4578275689,2.0431756825,1.8674412801,0.4126632655
0F9_4,4.5655860564,4.7577347144,4.4578275689,2.0431756825,1.8674412801,0.4126632655
0F11_1                ,6.6782174312,6.9682945223,5.591630689,2.7608414599,2.7545468962,0.8352122855
0F11_2,6.6782174312,6.9682945223,5.591630689,2.7608414599,2.7545468962,0.8352122855
0F11_3,6.6782174312,6.9682945223,5.591630689,2.7608414599,2.7545468962,0.8352122855
0F11_4,6.6782174312,6.9682945223,5.591630689,2.7608414599,2.7545468962,0.8352122855
0F12_1                ,5.864208259,6.3413295137,5.826347902,2.3925654237,2.1179675368,1.1512238929
0F12_2,5.864208259,6.3413295137,5.826347902,2.3925654237,2.1179675368,1.1512238929
0F12_3,5.864208259,6.3413295137,5.826347902,2.3925654237,2.1179675368,1.1512238929
0F14_1                ,8.0189860839,8.0505492156,7.099119267,3.4264603714,1.7812595868,0.4126632655
0F14_2,8.0189860839,8.0505492156,7.099119267,3.4264603714,1.7812595868,0.4126632655
0F14_3,8.0189860839,8.0505492156,7.099119267,3.4264603714,1.7812595868,0.4126632655
0F14_4,8.0189860839,8.0505492156,7.099119267,3.4264603714,1.7812595868,0.4126632655
0F16_1                ,8.7114944073,8.6863044195,8.4818146146,2.794811123,4.033057662,1.1908145159
0F16_2,8.7114944073,8.6863044195,8.4818146146,2.794811123,4.033057662,1.1908145159
0F16_3,8.7114944073,8.6863044195,8.4818146146,2.794811123,4.033057662,1.1908145159
5F3_1                 ,3.670997045,4.4918445115,2.7928745072,1.4540559507,1.2577613055,0.4126632655
5F3_2,3.670997045,4.4918445115,2.7928745072,1.4540559507,1.2577613055,0.4126632655
5F3_3,3.670997045,4.4918445115,2.7928745072,1.4540559507,1.2577613055,0.4126632655
5F3_4,3.670997045,4.4918445115,2.7928745072,1.4540559507,1.2577613055,0.4126632655
5F5_1                ,5.4379304753,6.0081594873,5.3917561661,3.0658757793,2.9040249593,1.4918445115
5F5_2,5.4379304753,6.0081594873,5.3917561661,3.0658757793,2.9040249593,1.4918445115
5F5_3,5.4379304753,6.0081594873,5.3917561661,3.0658757793,2.9040249593,1.4918445115
5F5_4,5.4379304753,6.0081594873,5.3917561661,3.0658757793,2.9040249593,1.4918445115
5F6_1                 ,6.6738266859,7.0939045029,5.6353797366,2.8106032742,1.4126632655,1.1908145159
5F6_2,6.6738266859,7.0939045029,5.6353797366,2.8106032742,1.4126632655,1.1908145159
5F6_3,6.6738266859,7.0939045029,5.6353797366,2.8106032742,1.4126632655,1.1908145159
5F6_4,6.6738266859,7.0939045029,5.6353797366,2.8106032742,1.4126632655,1.1908145159
5F7_1                 ,6.8017388907,6.6914168664,6.2577613055,3.8440270297,3.4420470432,2.0147232568
5F7_2,6.8017388907,6.6914168664,6.2577613055,3.8440270297,3.4420470432,2.0147232568
5F7_3,6.8017388907,6.6914168664,6.2577613055,3.8440270297,3.4420470432,2.0147232568
5F7_4,6.8017388907,6.6914168664,6.2577613055,3.8440270297,3.4420470432,2.0147232568
5F8_1                 ,8.3437289551,8.5556780657,7.3047578682,4.6679357706,4.6379725472,2.1116332698
5F8_2,8.3437289551,8.5556780657,7.3047578682,4.6679357706,4.6379725472,2.1116332698
5F8_3,8.3437289551,8.5556780657,7.3047578682,4.6679357706,4.6379725472,2.1116332698
5F8_4,8.3437289551,8.5556780657,7.3047578682,4.6679357706,4.6379725472,2.1116332698
5F9_1                 ,9.7531028527,9.5095732785,7.8157837867,5.1369391351,4.8897845202,3.7531073803
5F9_2,9.7531028527,9.5095732785,7.8157837867,5.1369391351,4.8897845202,3.7531073803
5F9_3,9.7531028527,9.5095732785,7.8157837867,5.1369391351,4.8897845202,3.7531073803
5F9_4,9.7531028527,9.5095732785,7.8157837867,5.1369391351,4.8897845202,3.7531073803
5F11_1                ,9.4481437234,9.0147232568,8.7724987478,5.9689657663,5.3717046578,5.2387380682
5F11_2,9.4481437234,9.0147232568,8.7724987478,5.9689657663,5.3717046578,5.2387380682
5F11_3,9.4481437234,9.0147232568,8.7724987478,5.9689657663,5.3717046578,5.2387380682
5F11_4,9.4481437234,9.0147232568,8.7724987478,5.9689657663,5.3717046578,5.2387380682
10F4_1                ,4.3157532525,2.8750612634,3.381146214,2.2699957619,2.3420821912,1.3669057749
10F4_2,4.3157532525,2.8750612634,3.381146214,2.2699957619,2.3420821912,1.3669057749
10F4_3,4.3157532525,2.8750612634,3.381146214,2.2699957619,2.3420821912,1.3669057749
10F4_4,4.3157532525,2.8750612634,3.381146214,2.2699957619,2.3420821912,1.3669057749
10F7_1                ,6.8727249286,4.6167832481,5.7451017254,3.4918445115,3.4540559507,2.9178132438
10F7_2,6.8727249286,4.6167832481,5.7451017254,3.4918445115,3.4540559507,2.9178132438
10F7_3,6.8727249286,4.6167832481,5.7451017254,3.4918445115,3.4540559507,2.9178132438
10F7_4,6.8727249286,4.6167832481,5.7451017254,3.4918445115,3.4540559507,2.9178132438
10F9_1                ,6.3352122855,5.7743911015,5.7136932612,4.2699957619,4.4126632655,3.6982205745
10F9_2,6.3352122855,5.7743911015,5.7136932612,4.2699957619,4.4126632655,3.6982205745
10F9_3,6.3352122855,5.7743911015,5.7136932612,4.2699957619,4.4126632655,3.6982205745
10F9_4,6.3352122855,5.7743911015,5.7136932612,4.2699957619,4.4126632655,3.6982205745
