Samples,Sensory (3 scale)
F1a,1
F1b,1
0F2,1
0F3,1
0F4,1
0F5,1
0F6,1
0F7,1
0F8,1
0F9,2
0F10,2
0F11,2
0F12,3
0F13,3
0F14,3
0F15,3
0F16,3
5F2,1
5F3,1
5F4,1
5F5,2
5F6,2
5F7,3
5F8,3
5F9,3
5F10,3
5F11,3
10F2,1
10F3,1
10F4,1
10F5,1
10F6,2
10F7,2
10F8,2
10F9,2
10F10,2
10F11,3
10F12,3
10F13,3
10F14,3
10F15,3
10F16,3
10F17,3
10F18,3
15F2,1
15F3,1
15F4,1
15F5,1
15F6,1
15F7,1
15F8,2
15F9,2
15F10,2
15F11,3
15F12,3
15F13,3
15F14,3
15F15,3
15F16,3
15F17,3
15F18,3
15F19,3
20F2,1
20F3,1
20F4,1
20F5,1
20F6,1
20F7,2
20F8,2
20F9,2
20F10,3
20F11,3
20F12,3
20F13,3
20F14,3
20F15,3
20F16,3
