Samples,Sensory (3 scale)
F1a_1,1
F1a_2,1
F1a_3,1
F1b_1,1
F1b_2,1
F1b_3,1
0F2_1,1
0F2_2,1
0F2_3,1
0F3_1,1
0F3_2,1
0F3_3,1
0F4_1,1
0F4_2,1
0F4_3,1
0F5_1,1
0F5_2,1
0F5_3,1
0F6_1,1
0F6_2,1
0F6_3,1
0F7_1,1
0F7_2,1
0F7_3,1
0F8_1,1
0F8_2,1
0F8_3,1
0F9_1,2
0F9_2,2
0F9_3,2
0F10_1,2
0F10_2,2
0F10_3,2
0F11_1,2
0F11_2,2
0F11_3,2
0F12_1,3
0F12_2,3
0F12_3,3
0F13_1,3
0F13_2,3
0F13_3,3
0F14_1,3
0F14_2,3
0F14_3,3
0F15_1,3
0F15_2,3
0F15_3,3
5F2_1,1
5F2_2,1
5F2_3,1
5F3_1,1
5F3_2,1
5F3_3,1
5F4_1,1
5F4_2,1
5F4_3,1
5F5_1,2
5F5_2,2
5F5_3,2
5F6_1,2
5F6_2,2
5F6_3,2
5F7_1,3
5F7_2,3
5F7_3,3
5F8_1,3
5F8_2,3
5F8_3,3
5F9_1,3
5F9_2,3
5F9_3,3
5F10_1,3
5F10_2,3
5F10_3,3
5F11_1,3
5F11_2,3
5F11_3,3
10F2_1,1
10F2_2,1
10F2_3,1
10F3_1,1
10F3_2,1
10F3_3,1
10F4_1,1
10F4_2,1
10F4_3,1
10F5_1,1
10F5_2,1
10F5_3,1
10F6_1,2
10F6_2,2
10F6_3,2
10F7_1,2
10F7_2,2
10F7_3,2
10F8_1,2
10F8_2,2
10F8_3,2
10F9_1,2
10F9_2,2
10F9_3,2
10F10_1,2
10F10_2,2
10F10_3,2
10F11_1,3
10F11_2,3
10F11_3,3
10F12_1,3
10F12_2,3
10F12_3,3
10F13_1,3
10F13_2,3
10F13_3,3
10F14_1,3
10F14_2,3
10F14_3,3
10F15_1,3
10F15_2,3
10F15_3,3
10F16_1,3
10F16_2,3
10F16_3,3
10F17_1,3
10F17_2,3
10F17_3,3
10F18_1,3
10F18_2,3
10F18_3,3
15F2_1,1
15F2_2,1
15F2_3,1
15F3_1,1
15F3_2,1
15F3_3,1
15F4_1,1
15F4_2,1
15F4_3,1
15F5_1,1
15F5_2,1
15F5_3,1
15F6_1,1
15F6_2,1
15F6_3,1
15F7_1,1
15F7_2,1
15F7_3,1
15F8_1,2
15F8_2,2
15F8_3,2
15F9_1,2
15F9_2,2
15F9_3,2
15F10_1,2
15F10_2,2
15F10_3,2
15F11_1,3
15F11_2,3
15F11_3,3
15F12_1,3
15F12_2,3
15F12_3,3
15F13_1,3
15F13_2,3
15F13_3,3
15F14_1,3
15F14_2,3
15F14_3,3
15F15_1,3
15F15_2,3
15F15_3,3
15F16_1,3
15F16_2,3
15F16_3,3
15F17_1,3
15F17_2,3
15F17_3,3
15F18_1,3
15F18_2,3
15F18_3,3
15F19_1,3
15F19_2,3
15F19_3,3
20F2_1,1
20F2_2,1
20F2_3,1
20F3_1,1
20F3_2,1
20F3_3,1
20F4_1,1
20F4_2,1
20F4_3,1
20F5_1,1
20F5_2,1
20F5_3,1
20F6_1,1
20F6_2,1
20F6_3,1
20F7_1,2
20F7_2,2
20F7_3,2
20F8_1,2
20F8_2,2
20F8_3,2
20F9_1,2
20F9_2,2
20F9_3,2
20F10_1,3
20F10_2,3
20F10_3,3
20F11_1,3
20F11_2,3
20F11_3,3
20F12_1,3
20F12_2,3
20F12_3,3
20F13_1,3
20F13_2,3
20F13_3,3
20F14_1,3
20F14_2,3
20F14_3,3
20F15_1,3
20F15_2,3
20F15_3,3
20F16_1,3
20F16_2,3
20F16_3,3
