Sample,TVC,Pseudomonads,Brochothrix thermosphacta,LAB,Enterobacteriaceae,Yeasts-Molds
0h1a ,5.4771213531,4.301030159,4.1846079826,5.2552723885,3.9471580982,4.1276364326
0h1b ,5.4771213531,4.301030159,4.1846079826,5.2552723885,3.9471580982,4.1276364326
0A2,5.6276364326,4.5314788818,3.9030900002,5.1732840538,3.9432454109,4.1185455322
0A3,5.3004865646,4.5395908356,3.9225490093,5.2032699585,3.8890755177,4.3817138672
0A4,5.5607800484,4.8546347618,4.0240654945,5.3290057182,3.9418306351,4.4286661148
0A5,6.1778216362,5.9315423965,5.2428040504,5.7896060944,4.8765616417,4.4879455566
0A6,6.046710968,5.7428607941,5.4773383141,5.9753770828,4.7147145271,4.7058939934
0A7,7.5685248375,7.8043828011,7.3661971092,6.2418580055,5.4788513184,6.6892762184
0A8,9.1215190887,9.1361532211,8.1130418777,6.9621396065,5.7079706192,7.9633769989
0A9,9.3783025742,9.5167121887,8.0388660431,7.4297432899,7.6409711838,7.7722821236
0A10,8.8337268829,8.9004955292,7.9423975945,6.5076799393,5.3890757561,7.1087417603
0A11,9.3908061981,9.3966083527,8.2861566544,6.8890757561,6.4286661148,8.9294185638
0A12,9.7759685516,9.7447404861,8.4899110794,7.1619558334,7.260784626,8.0462903976
0A13,10.002161026,10.1054801941,8.7692871094,7.3671998978,7.8292918205,8.0165510178
0A14,10.041267395,10.0826225281,8.5265007019,7.6617293358,8.1859674454,6.9286661148
0M2,5.4225492477,4,4.1227564812,5.1782040596,4.4310655594,4.2723751068
0M3,5.5880455971,4.0395908356,4.0667695999,5.8699836731,4.2657394409,4.2546014786
0M4,5.5923457146,3.0377733707,3.9041731358,5.0980052948,4.1696062088,3.2921655178
0M5,5.0536050797,3.3890755177,3.9452664852,4.5522437096,4.0241041183,3.6058270931
0M6,5.365003109,3.7045435905,3.17512393,5.1276364326,3.9268186092,3.7180812359
0M7,5.4888620377,4.0809831619,4.0395908356,5.0726604462,4.2354989052,4.1344761848
0M8,5.9030900002,4.1901054382,4.424094677,5.408452034,3.8779373169,4.4771213531
0M9,6.5522437096,4.4426808357,5.0053620338,6.3136572838,4.2156820297,4.0730638504
0M10,6.2829236984,3.7093162537,4.6497101784,6.3004536629,3.7579369545,3.8107440472
0M11,6.9961662292,4.0497713089,4.8764467239,6.9873480797,4.2121138573,3.6202745438
0M12,7.6305122375,3.0154616833,5.8843913078,7.5443162918,4.1756854057,3.7442753315
0M13,8.157995224,4.7331371307,6.5647611618,7.8917732239,4.6721959114,5.3081851006
0M14,8.2729997635,4.3313789368,5.7098126411,7.9510016441,4.1393766403,5.1522450447
0O2,5,3.9542424679,3.9777235985,5.0893015862,3.5395905972,3.9931619167
0O3,5.6273946762,4.0937604904,3.6152243614,5.2032699585,4.0536050797,5.2781510353
0O4,5.4304680824,3.8266062737,3.9703080654,5.0650544167,3.7499809265,3.5880455971
0O5,4.9362239838,3.4647095203,3.6848862171,4.6502976418,3.5214846134,3.1818060875
0O6,5.3437290192,3.7720339298,4.9268488884,4.8740940094,3.3494849205,3.5314788818
0O7,5.2481880188,3.3613169193,3.654282093,5.0374083519,3.4842414856,3.8061270714
0O8,5.811624527,3.9847545624,3.6020600796,5.4771213531,4.3473024368,4.396545887
0O9,5.6971383095,3.5148947239,5.1963925362,5.4309344292,3.6901056767,3.7685399055
0O10,5.8516454697,3.8110551834,3.4692599773,5.2659945488,3.9086503983,3.8463795185
0O11,6.4715371132,3.9822006226,5.0223875046,6.4601922035,4.0755314827,3.7596514225
0O12,6.4531135559,3.5836586952,3.8362336159,6.5365290642,3.4789950848,3.531291008
0O13,7.3405661583,3.7180812359,3.7296962738,7.2877383232,3.7108020782,3.5359408855
0O14,7.2821316719,3.5529253483,4.0694670677,7.2595396042,3.2470772266,3.3961958885
5A2,5.8701815605,4.4771213531,3.7781512737,5.2781510353,4.3802113533,4.2698516846
5A3,5.9225492477,5.1808638573,4.6319365501,6.0424666405,4.9941678047,4.7274222374
5A4,6.8222193718,6.0092878342,5.0541810989,6.5340929031,4.8767914772,5.0565032959
5A5,6.9360780716,7.2385606766,5.7932934761,6.5010828972,4.6549215317,4.8981485367
5A6,7.8419737816,7.6959085464,7.1954498291,7.2066497803,5.9911355972,5.3493981361
5A7,9.0682458878,9.5301523209,8.3939847946,7.2735795975,7.7241983414,7.8414063454
5A8,9.3549823761,9.42964077,8.1185455322,7.3178672791,7.6657137871,8.0010547638
