Sample,Sensory (3 scale)
0h1a ,1
0h1b ,1
0A2,1
0A3,1
0A4,1
0A5,1
0A6,2
0A7,2
0A8,2
0A9,3
0A10,3
0A11,3
0A12,3
0A13,3
0A14,3
0M2,1
0M3,1
0M4,1
0M5,1
0M6,1
0M7,1
0M8,1
0M9,2
0M10,2
0M11,3
0M12,3
0M13,3
0M14,3
0O2,1
0O3,1
0O4,1
0O5,1
0O6,1
0O7,1
0O8,1
0O9,1
0O10,2
0O11,2
0O12,3
0O13,3
0O14,3
5A2,1
5A3,1
5A4,1
5A5,1
5A6,2
5A7,3
5A8,3
5A9,3
5A10,3
5A11,3
5A12,3
5A13,3
5A14,3
5A15,3
5A16,3
5M2,1
5M3,1
5M4,1
5M5,1
5M6,1
5M7,1
5M8,2
5M9,2
5M10,3
5M11,3
5M12,3
5M13,3
5M14,3
5M15,3
5M16,3
5O2,1
5O3,1
5O4,1
5O5,1
5O6,1
5O7,1
5O8,1
5O9,2
5O10,2
5O11,3
5O12,3
5O13,3
5O14,3
5O15,3
5O16,3
10A2,1
10A3,1
10A4,1
10A5,2
10A6,2
10A7,3
10A8,3
10A9,3
10A10,3
10A11,3
10A12,3
10A13,3
10A14,3
10A15,3
10A16,3
10A17,3
10M2,1
10M3,1
10M4,1
10M5,1
10M6,2
10M7,2
10M8,3
10M9,3
10M10,3
10M11,3
10M12,3
10M13,3
10M14,3
10M15,3
10M16,3
10M17,3
10M18,3
10O2,1
10O3,1
10O4,1
10O5,1
10O6,1
10O7,2
10O8,2
10O9,3
10O10,3
10O11,3
10O12,3
10O13,3
10O14,3
10O15,3
10O16,3
10O17,3
10O18,3
15A2,1
15A3,1
15A4,1
15A5,1
15A6,2
15A7,2
15A8,2
15A9,3
15A10,3
15A11,3
15A12,3
15A13,3
15A14,3
15A15,3
15A16,3
15A17,3
15A18,3
15M2,1
15M3,1
15M4,1
15M5,1
15M6,1
15M7,1
15M8,2
15M9,2
15M10,3
15M11,3
15M12,3
15M13,3
15M14,3
15M15,3
15M16,3
15M17,3
15M18,3
15O2,1
15O3,1
15O4,1
15O5,1
15O6,1
15O7,1
15O8,2
15O9,2
15O10,2
15O11,3
15O12,3
15O13,3
15O14,3
15O15,3
15O16,3
15O17,3
15O18,3
