Samples,6.2,6.9 (citric  acid),7,7.9,8.3,9.7,10.9 (lactic acid),11.9 (formic acid),12.9 (acetic acid),14.9,15.1 (propionic acid),16.1,17.8,18.6,20.5,24.6,28.1
0h,7.9,1.05,1.25,0.55,0.6,7.4,52.6,21.55,0.25,2.5,0.55,1.4,0.3,14.8,0,4.25,0
0A4,3.4,1.45,0.35,0.55,0.9,5.5,44.15,16.55,0.3,3.5,0.65,2.05,0,12.3,0,1.05,0
0A6,4.05,1.9,0.55,0.7,0.8,6.15,48.65,12,0.45,3.4,0.55,1.9,0,9.85,0,2.75,0
0A8,3.3,1.3,14.65,17.7,1.05,6.15,49.75,2.75,0.85,2.65,0.5,0.45,5.55,12.85,0,0.8,0
0A10,2.65,2.5,24.5,23.95,0.9,2.75,43.25,2.35,0.85,2.3,0.85,0.6,6.7,10.85,0,0.9,0
0A12,2.2,0.45,5.25,2.15,1.65,1.3,23.85,6.55,1.55,1.6,1.55,1.2,1.6,7.5,0.4,0.55,0
0A14,1.75,1.25,3.85,2.65,1.6,1.1,2.95,2.7,0.95,0.8,5,4.7,12.55,14.15,0.55,1.15,0
0M4,8.95,1.85,0.4,0.6,0.9,6.8,51.44,12.3,0.45,2.2,0.35,0.75,0,12.75,0,73.9,0
0M6,7.1,1.7,0.85,0,0.8,6.2,47.45,15.8,0.4,3,0.7,1.35,0,10.9,0,14.55,0
0M8,3.55,2.05,0.65,0,1.05,7.8,50.2,19.9,0.55,4.45,0.6,2.25,0,11.45,0,0,0
0M10,2.35,1.6,0.6,0,0.5,8.35,46.5,7.1,0.7,3,0.4,0.9,0,8.9,0,0,0
0M12,2.2,1.85,0.5,0,0.45,7.65,50.7,4.2,0.75,3.7,0.45,1.1,0,13.45,0,0,0
0M14,2.35,1.55,0.7,0,0.5,0.5,66.5,2.3,3.35,5.3,1.05,9.8,0,10.8,0,0,0
0O4,6.35,1.35,0.75,0.6,0.6,6.05,49.7,13.35,0.35,1.75,0.5,0.6,0,12.85,0,43.15,0
0O6,7.79,0.75,0.2,0,0.35,7.65,60.2,10,0.3,1.25,0.25,0.3,0,11.45,0,54.3,0
0O8,4.4,1.15,0.2,0.6,0.55,9.15,54.85,6.1,0.25,2.3,0.35,0.75,0,12.6,0,0,0
0O10,3.3,1.2,0.1,0.6,0.8,9.6,62.9,7.1,0.3,2.1,0.3,0.6,0,11.2,0,0,0
0O12,2.6,1.35,0.2,0.55,0.75,8.9,58.95,4.75,0.35,2.3,0.2,0.6,0,10.7,0,0,0
0O14,0.9,0.8,0.15,1,0.7,9.95,64.45,8.35,0.25,1.5,0.35,0.4,0,9.8,0,0,0
5A3,7.65,2.15,0.7,0.5,1.2,6.9,50.9,12.3,0.3,3.7,1,1.75,0.2,12.2,0,11.7,0
5A5,6.45,2,0.65,0.6,1,7.95,56.6,13.4,0.3,2.5,0.4,0.4,0.2,12.25,0,38.55,0
5A7,2.25,0.6,5.9,4.8,0.9,3.75,49.45,6.05,0.7,4.8,0.85,2.25,13.4,12.55,0,0,0
5A8,2.25,0.85,9,0.7,0.8,2.2,44.7,1.1,0.8,2.7,0.6,1.95,16.95,13.95,0,0,0
5A11,3.2,0.75,2.25,0.5,0.85,3.6,46,8.05,1.65,3.75,1,3.3,56.1,14.05,0,0,1.4
5A14,6.9,1.85,3.3,3.15,1.8,2.15,19.5,10.55,2.35,1.25,2.5,20.65,52.7,18.2,11.55,0,0.65
5M3,3.65,0.6,1.1,0.4,0.95,5,48.7,124.2,0.55,4.6,1.3,3.8,0.45,22.25,0,0,0
5M5,3.25,1.3,1.2,0.65,1.8,7.15,44.9,22.55,0.75,4.45,0.65,3.45,0.1,37.2,0,0,0
5M7,2.45,1.2,0.65,0.35,0.75,7.7,48.45,8.75,0.65,4.9,1.15,2.35,0.15,18.9,0,0,0
5M8,1.8,0.9,0.75,0.5,1.2,6.3,48,9.9,0.95,4.7,1.4,3.6,0.35,20.65,0,0,0
5M11,3.2,1.65,0.6,0.5,0.8,6.65,55.25,2.75,2.45,4.8,1,2.65,1.2,24.25,0,0,0
5M14,2.75,1.25,0.6,0.2,0.75,5.15,52.2,2.75,2.5,4.8,1.05,3.75,0.9,13.1,0,0,0
5O3,8.25,0.75,1.15,0.55,0.8,8.4,58.85,18.05,0.25,1.4,0.5,0.35,0.3,29.05,0,60.35,0
5O5,7.05,1.1,0.9,0.45,0.7,7.65,57.85,11.85,0.35,2.1,0.55,0.65,0.15,12.45,0,32.45,0
5O7,3.7,0.95,0.65,0.5,0.7,9.2,60.7,7.8,0.5,2.25,0.55,0.55,0.2,11.9,0,1.35,0
5O8,4.7,0.8,0.8,1.65,1.7,12.35,65.4,8.35,0.85,1.75,0.4,0.45,0.25,11.5,0,4.3,0
5O11,3.15,0.75,0.85,1.15,1.25,11.3,64.85,6.15,1.05,1.8,0.35,0.45,0.15,11.35,0,3.05,0
5O14,2.6,1.35,1.1,0.65,1,9.65,66.4,6.9,1.6,1.55,0.35,0.35,0,11.6,0,3.3,0
10A4,6,1.5,1,0.5,0.9,6,50.3,11,0.25,3,0.3,1.1,0,11.1,0,39.2,0
10A6,3.6,1.75,1.1,1.15,1,5.1,47.25,3.4,0.7,3.8,0.2,0.35,6.65,12.25,0,0.65,0
10A8,4.25,1.6,1.1,0.8,0.85,4.5,52.65,7.75,0.2,3,0.15,0.4,12.3,12.55,0,7.8,0
10A11,0.65,0,3.05,2.05,0.85,0.15,49.95,14.75,1.65,2.7,0.9,2.25,51.75,13.1,0,0,0
10A14,1.6,0,2.3,1.5,1.45,0.9,26.9,177.25,2.85,1.9,5.6,10.9,27.85,13.15,5.4,0,0
10A17,0,0,1.9,1.6,1.6,0.9,1.8,10,15.3,0,156.6,39.5,11.7,15,13.9,0,0
10M4,3.85,0.95,1,0.45,0.95,6.45,45.6,16,0.45,3.6,1,3,0.25,12.15,0,0,0
10M6,4.15,1.6,0.65,0.45,0.8,6.6,46.4,7.55,0.5,2.25,0.75,0.8,0.2,8.1,0,7,0
10M8,1.45,0.45,0.5,0.15,0.4,2.4,49.2,7.15,1.15,3.4,1.05,3.7,1.5,12.4,0,5,0
10M11,2.55,1.1,0.9,0.8,0.65,3.9,56.45,2.5,2.75,4.05,1.3,3.1,4.05,6.1,0,3.8,0
10M14,1.05,0.4,0.9,0.75,0.8,1.6,54.4,2.1,2.85,4.15,0.7,6.5,6.2,11.7,0,0.6,0
10M17,0.6,0.2,1.1,0.7,0.6,0.4,59.7,3.2,1.5,4.7,1.5,9.6,9.4,11.2,0.5,0,0
10O4,6,1.9,0.5,0.6,1,7.1,47.3,10.6,0.4,2.6,0.9,0.6,0,2.4,0,35.7,0
10O6,8.15,1.2,0.95,0.5,0.6,8.4,56.3,7.35,0.35,1.6,0.45,0.3,0,8.5,0,13.9,0
10O8,3.85,0.65,0.7,0.4,0.65,8.65,63.2,6.8,1.1,1.8,0.35,0.45,0,4.1,0,0.9,0
10O11,3.65,0.9,1.05,0.5,0.7,8.15,69.15,7.05,2.2,1.45,0.2,0.3,0,10.35,0,13.65,0
10O14,3.15,0.95,0.95,0.4,0.65,7.9,70.15,6.95,2.65,1.55,0.35,0.45,0,10.95,0,15.2,0
10O17,1.5,0.65,1.05,0.55,0.55,2.4,75.95,2.4,2.3,2.55,0,6.3,0,13.6,0,1.4,0
15A3,10.25,1.65,1.1,0.45,0.65,6.35,49.8,19.2,0.3,3.75,0.6,1.85,0.4,12.25,0,61.6,0
15A6,7.9,1.65,1.05,0.4,0.8,6.05,49.1,14.05,0.35,3.15,0.6,1.1,3.85,12.2,0,27.45,0
15A8,3.6,0.8,1.1,0.9,0.6,1.7,54.6,7,0.9,3.3,0.7,1.5,17.8,20.8,0,1.7,0
15A11,3.15,1,2.8,2,0.45,0.4,36.8,15.7,1.35,2.5,0.7,3.7,110.8,13.3,1.2,0.65,1.4
15A13,1.7,1.05,7.7,9.55,0.9,0.5,44.75,10.2,2.05,2.2,1.25,3.25,24.2,9.7,0.5,0.25,2.2
15A15,0.85,0.45,4.9,3.5,0.6,0.55,58.45,21.6,2.95,2.7,0.95,5.5,77.3,9.9,0.8,1.6,1.7
15A17,1.2,1,4.8,3,1.6,1.6,17.3,6.6,11.2,0,20.7,33.5,13.8,15.4,6.8,1.6,3.2
15M3,6.75,1.35,0.9,0.35,0.3,7,47.75,12.5,0.35,4.1,0.75,2.75,0.4,13.4,0,2.8,15.65
15M6,2.95,0.85,0.95,0.3,0.55,5.45,50.15,12.85,0.5,4.3,1.15,4.65,1.45,11.25,0,0,0
15M8,3.8,1.7,1,0.5,0.65,6.85,54.45,8.65,0.8,3.7,0.6,1.05,0.65,12.8,0,1.15,0
15M11,1.35,0.55,1.25,0.75,0.45,1.9,53.95,4.45,1.55,4.2,1,5.1,5.15,5.65,0,0.2,0
15M13,1,0.6,1.5,1.1,0.6,1.1,56.2,3,2.3,5.9,1.4,8.8,4.4,12.2,0,0,0
15M15,1,0.45,1.55,1.55,0.65,0.3,52.25,2.8,3.6,5.55,2.1,8.6,109.85,9.9,0,2.8,6.65
15M17,0.75,0.6,1.5,1,0.6,0.35,77.55,1.2,0.75,3.95,0.9,9.25,3.7,6.35,0,0,5.7
15O3,5.75,0.85,1.15,0.4,0.7,7.8,57.55,26.55,0.2,1.35,0.3,0.75,0.3,9.35,0,115.55,3.9
15O6,5.4,1.6,1.4,0.55,0.95,8.7,58.65,14.8,0.45,3.15,0.55,1.35,0.4,9.25,0,28.85,16.9
15O8,2.95,1.25,1.25,0.6,0.5,8.95,66.25,10.55,1.1,1.65,0.35,0.1,0.5,9.65,0,5.1,0
15O11,2.6,0.9,1.4,0.5,0.4,5.9,71.95,4.05,1.95,1.85,0.5,0.3,0.55,9.1,0,9.6,0
15O13,2.6,1,1.5,0.5,0.5,4.5,76.3,1,2.3,1.65,0.4,0.65,0.45,8.35,0,33.15,0
15O15,1.75,1.1,2.2,0.75,0.6,0.45,84.35,1.1,3.1,3.35,1.65,7.05,1.1,8.7,0,2.8,0
15O17,1,1,2.3,1.4,0.7,0.4,64.4,2.8,1.4,6.1,0.9,8.6,13.5,8.1,0,0,2.3
