Samples,TVC,Pseudomonads,Brochothrix,LAB,Enterobacteriaceae,Yeasts-Molds
0h,5.4771213531,4.301030159,4.1846079826,5.2552723885,3.9471580982,4.1276364326
0A4,5.5607800484,4.8546347618,4.0240654945,5.3290057182,3.9418306351,4.4286661148
0A6,6.046710968,5.7428607941,5.4773383141,5.9753770828,4.7147145271,4.7058939934
0A8,9.1215190887,9.1361532211,8.1130418777,6.9621396065,5.7079706192,7.9633769989
0A10,8.8337268829,8.9004955292,7.9423975945,6.5076799393,5.3890757561,7.1087417603
0A12,9.7759685516,9.7447404861,8.4899110794,7.1619558334,7.260784626,8.0462903976
0A14,10.041267395,10.0826225281,8.5265007019,7.6617293358,8.1859674454,6.9286661148
0M4,5.5923457146,3.0377733707,3.9041731358,5.0980052948,4.1696062088,3.2921655178
0M6,5.365003109,3.7045435905,3.17512393,5.1276364326,3.9268186092,3.7180812359
0M8,5.9030900002,4.1901054382,4.424094677,5.408452034,3.8779373169,4.4771213531
0M10,6.2829236984,3.7093162537,4.6497101784,6.3004536629,3.7579369545,3.8107440472
0M12,7.6305122375,3.0154616833,5.8843913078,7.5443162918,4.1756854057,3.7442753315
0M14,8.2729997635,4.3313789368,5.7098126411,7.9510016441,4.1393766403,5.1522450447
0O4,5.4304680824,3.8266062737,3.9703080654,5.0650544167,3.7499809265,3.5880455971
0O6,5.3437290192,3.7720339298,4.9268488884,4.8740940094,3.3494849205,3.5314788818
0O8,5.811624527,3.9847545624,3.6020600796,5.4771213531,4.3473024368,4.396545887
0O10,5.8516454697,3.8110551834,3.4692599773,5.2659945488,3.9086503983,3.8463795185
0O12,6.4531135559,3.5836586952,3.8362336159,6.5365290642,3.4789950848,3.531291008
0O14,7.2821316719,3.5529253483,4.0694670677,7.2595396042,3.2470772266,3.3961958885
5A3,5.9225492477,5.1808638573,4.6319365501,6.0424666405,4.9941678047,4.7274222374
5A5,6.9360780716,7.2385606766,5.7932934761,6.5010828972,4.6549215317,4.8981485367
5A7,9.0682458878,9.5301523209,8.3939847946,7.2735795975,7.7241983414,7.8414063454
5A8,9.3549823761,9.42964077,8.1185455322,7.3178672791,7.6657137871,8.0010547638
5A11,9.8008127213,9.9327297211,8.2333965302,7.671309948,9.0154342651,8.9513273239
5A14,9.9190149307,9.9503469467,8.302069664,7.767013073,8.8864536285,8.4286661148
5M3,5.6975755692,4.7525749207,4.4647092819,6.185090065,4.6980996132,4.5093502998
5M5,6.5730638504,4.3890757561,4.6347565651,6.4562969208,4.4030900002,4.4331436157
5M7,7.2591252327,4.8546347618,5.9611029625,7.0973958969,4.8567452431,4.9826006889
5M8,7.5105948448,4.8269920349,6.2149729729,7.2442755699,4.7745018005,4.3756394386
5M11,8.0910644531,5.1808638573,5.9888620377,7.6766695976,5.0794825554,4.9621396065
5M14,7.9885416031,5.0880455971,6.3685965538,7.6043548584,4.889292717,5.2932372093
5O3,5.5897760391,3.7385606766,5.0530786514,5.5986404419,3.8450980186,3.4931619167
5O5,6.4542427063,3.7781512737,4.6361527443,6.0629844666,3.3890755177,3.9463255405
5O7,5.7633633614,4.0282616615,4.8652296066,6.6276364326,3.6601769924,4.3888149261
5O8,7.2804193497,4.2066497803,5.4264836311,7.1864376068,4.3105883598,4.2589936256
5O11,7.6857185364,4.326364994,6.2000098228,7.5275363922,4.3872623444,4.961414814
5O14,7.8400769234,5.2518954277,5.6450171471,7.670519352,4.8513531685,5.3970489502
10A4,6.5537743568,5.9493899345,4.0880455971,6.3629560471,5,4.5857167244
10A6,8.1982307434,6.6083469391,6.3733406067,8.1466808319,6.2876172066,6.3333525658
10A8,8.617764473,8.1792907715,7.0369691849,8.3896360397,7.6767659187,7.4955444336
10A11,9.2300806046,9.1651058197,6.7835130692,8.3818445206,8.7941923141,8.5619258881
10A14,9.7525749207,9.7685317993,6.6671261787,8.5395908356,8.9911355972,8.9834461212
10A17,9.7274227142,9.4542427063,7.4600615501,8.16127491,9.2695627213,7.8450980186
10M4,6.8175406456,4.7558746338,4.6522450447,6.6579852104,4.2304487228,4.7297716141
10M6,7.8606991768,5.1020598412,5.0131850243,7.7988476753,4.9447069168,5.0501852036
10M8,8.4503469467,6.4403495789,6.2430520058,8.5242204666,6.3325090408,5.4063396454
10M11,8.3802108765,6.0549073219,5.6276364326,8.272313118,6.1505150795,5.891951561
10M14,9.7525749207,6.7418932915,5.4225492477,8.3162183762,6.1832113266,7.1293067932
10M17,8.5863018036,6.9460473061,5.491361618,8.439330101,6.9129076004,7.5826816559
10O4,6.2732715607,4.3222193718,4.5284523964,6.2363781929,3.8450980186,4.5114202499
10O6,7.2166209221,4.4647092819,5.2240052223,7.1202745438,3.4771213531,4.3410725594
10O8,7.9494447708,4.5708818436,5.4336748123,7.8947901726,4.7156820297,4.904779911
10O11,7.2682790756,5.10216856,4.5708818436,7.5292129517,5.155559063,5.9203667641
10O14,7.7159228325,5.0075750351,4.3266062737,8.0307264328,5.1005072594,6.5672798157
10O17,7.9538397789,5.4392609596,4.4771213531,7.9087824821,5.2829236984,7.692802906
15A3,5.9250164032,4.4771213531,3.8555238247,5.8633227348,4.2442755699,4.2525749207
15A6,7.831756115,6.6099233627,5.5336470604,7.8747134209,6.4097719193,5.7720341682
15A8,8.3933753967,7.3890757561,6.4508652687,8.2948627472,7.1846079826,6.089905262
15A11,8.790974617,8.5072603226,6.7415795326,8.4200658798,8.5226612091,7.2131743431
15A13,9.709564209,9.0413923264,6.8807759285,8.5118322372,8.6618318558,8.0998773575
15A15,9.7214746475,9.5522432327,6.804049015,8.4004688263,9.2096223831,6.9017286301
15A17,9.6008348465,9.7323188782,6.8783941269,8.3227109909,9.3563251495,8.7843942642
