Samples,Sensory (3 scale)
0h,1
0A4,1
0A6,2
0A8,2
0A10,3
0A12,3
0A14,3
0M4,1
0M6,1
0M8,1
0M10,2
0M12,3
0M14,3
0O4,1
0O6,1
0O8,1
0O10,2
0O12,3
0O14,3
5A3,1
5A5,1
5A7,3
5A8,3
5A11,3
5A14,3
5M3,1
5M5,1
5M7,1
5M8,2
5M11,3
5M14,3
5O3,1
5O5,1
5O7,1
5O8,1
5O11,3
5O14,3
10A4,1
10A6,2
10A8,3
10A11,3
10A14,3
10A17,3
10M4,1
10M6,2
10M8,3
10M11,3
10M14,3
10M17,3
10O4,1
10O6,1
10O8,2
10O11,3
10O14,3
10O17,3
15A3,1
15A6,2
15A8,2
15A11,3
15A13,3
15A15,3
15A17,3
15M3,1
15M6,1
15M8,2
15M11,3
15M13,3
15M15,3
15M17,3
15O3,1
15O6,1
15O8,2
15O11,3
15O13,3
15O15,3
15O17,3
