Actual,Predicted
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,3
1,3
1,3
1,3
2,3
2,3
2,3
2,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
1,1
1,1
1,3
1,1
2,1
2,3
2,1
2,1
2,1
2,1
2,1
2,1
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
1,3
1,3
1,3
1,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
2,3
2,3
2,3
2,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
2,3
2,3
2,3
2,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
8.88048e-317,0
9.53547e-322,2.85076e-321
4.24399e-314,2.08616e-314
6.94597e-310,0
4.9,0
8.88494e-317,0
8.20692e-72,0
6.81211e-38,0
4.92608e-63,0
4.67203e-62,0
6.21427e-92,0
9.95481e-43,0
1.38483e-48,0
3.70155e-33,0
6.21877e-92,0
2.10078e-312,6.94597e-310
8.90856e-317,1.4822e-323
8.86894e-317,0
8.8857e-317,0
0,1.28307e-316
0,-nan
0,0
8.88505e-317,1.28307e-316
8.88506e-317,0
4.94066e-324,0
1.63042e-322,0
4.24399e-314,0
6.94593e-310,0
8.88052e-317,0
1.63042e-322,6.94597e-310
5.09279e-313,0
6.94593e-310,0
8.88052e-317,0
4.00193e-322,0
-0.413428,0
-0.999628,0
-0.744095,0
-0.944207,0
-0.730705,0
1,0
-0.34164,0
-1,0
8.88053e-317,0
4.00193e-322,0
-0.432403,0
-0.999285,0
-0.749285,0
-0.950286,0
-0.738197,0
1,0
-0.365165,0
-1,0
8.88055e-317,0
4.00193e-322,0
-0.448691,0
-0.996461,0
-0.750885,0
-0.943383,0
